US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,eco_id,n_pixels,x_mean,y_mean,Resistance,IRI_good_pow2,STAB_good_pow2,R_comp_no_t80,forest_structure_support,forest_structure_constraint,climate_constraint_score,human_pressure_score,forest_structure_net,climate_net,human_net,evt_group_mode,project_region_mode,nearest_l3_distance_max_m,Resistance_forest_structure_support,Resistance_forest_structure_constraint,Resistance_climate_constraint_score,Resistance_human_pressure_score,IRI_good_pow2_forest_structure_support,IRI_good_pow2_forest_structure_constraint,IRI_good_pow2_climate_constraint_score,IRI_good_pow2_human_pressure_score,STAB_good_pow2_forest_structure_support,STAB_good_pow2_forest_structure_constraint,STAB_good_pow2_climate_constraint_score,STAB_good_pow2_human_pressure_score,forest_level,climate_level,human_level,cube_code,max_constraint_score,dominant_constraint_dimension,dominant_effect_dimension,mechanism_zone,management_zone,low_priority_subtype,high_resilience_mechanism_subtype,R_comp_equal,forest_structure_influence,forest_structure_abs_net,forest_structure_direction,dominant_mechanism_raw,dominant_score,dominance_margin,dominance_ratio,mechanism_zone_q75,resilience_priority_class,management_zone_q75
21,Southern Rockies,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,21 Southern Rockies,2641,-878483.3396440742,1746755.5850056796,0.7129686,0.7569544,0.81369823,0.4385310280606124,0.035397804910770186,0.13913589676093605,0.2304166728911344,0.09301069421855791,-0.07279072648124116,-0.1976792241762965,0.029504346831860085,conifer,S_Rockies,0.0,0.019100117123200575,0.13726552128844283,0.19053114209593242,0.045054387785259706,0.04246895913005953,0.10855166550843098,0.1301720988985507,0.07358812698141153,0.0003182357012115417,0.16295768941957803,0.2515994240380264,0.07696753272191223,2,4,4,2-4-4,0.2304166728911344,climate_constraint,climate_constraint,Climate-dominated recovery constraint zone,Climate-dominated recovery constraint zone,,,0.3076923076923077,0.13913589676093605,0.10373809185016586,constraint,climate,0.2304166728911344,0.09128077613019836,1.6560548230557455,Mixed-control transition,Moderate,Mixed-control transition
22,Arizona/New Mexico Plateau,10.1.7,Arizona/New Mexico Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,22 Arizona/New Mexico Plateau,368,-1453752.7173913044,1578260.8695652173,0.8961093,0.95791775,0.8760453,0.7291738639665875,0.13416013383166123,0.25995588018518245,0.02904250159026353,0.04009603092544549,-0.10511196626038044,0.16739525923153292,0.12432873525940134,conifer,SW_dry,0.0,0.12805764480845921,0.274095184097748,0.0,0.0235098809251091,0.18559007362646673,0.1904238756298136,0.07658332234879978,0.05274369078070779,0.0,0.3011711727446054,0.0,0.032057247288141966,4,2,1,4-2-1,0.25995588018518245,forest_structure,climate_constraint,Structure-dominated resilience zone,High-resilience conservation zone,,Structure-dominated resilience zone,0.9743589743589745,0.25995588018518245,0.12579574635352123,constraint,structure,0.25995588018518245,0.21985984925973695,6.483331995342484,Mixed-control transition,High,High-resilience conservation priority
23,Arizona/New Mexico Mountains,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,13,TEMPERATE SIERRAS,23 Arizona/New Mexico Mountains,7981,-1253797.707054254,1315747.212128806,0.8484436,0.87422293,0.85853624,0.6267028385924819,0.012785987177858607,0.11686359482818452,0.061179050696303285,0.0579600751821647,-0.0914019055785756,-0.034679233256533805,0.0249511930152175,conifer,SW_dry,0.0,0.0016400726363199347,0.11653190821012312,0.04022984108191495,0.033544629699996456,0.005439526284192579,0.07096651231043767,0.029755230653881186,0.0955880552526445,0.0,0.1375734724555589,0.10176535973735734,0.03677929085395694,1,2,2,1-2-2,0.11686359482818452,forest_structure,forest_structure,Mixed-control transition zone,High-resilience conservation zone,,Mixed-control transition zone,0.8846153846153847,0.11686359482818452,0.10407760765032592,constraint,structure,0.11686359482818452,0.05568454413188124,1.910189738122987,Mixed-control transition,High,High-resilience conservation priority
23,Arizona/New Mexico Mountains,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS (?),13,TEMPERATE SIERRAS,23 Arizona/New Mexico Mountains,647,-913337.71251932,1222648.3771251931,0.7327768,0.73845273,0.7962858,0.41255963208449026,0.01228537843747284,0.31888276909296176,0.20728679938188557,0.05437730263986887,-0.2614912378476036,-0.153136608528783,-0.0021135965136652203,conifer,SW_dry,0.0,0.0,0.37398412073403936,0.25303162893970543,0.031465096546904284,0.03465371526595538,0.1677419984541573,0.17826653241795487,0.04221299512638821,0.0,0.3893639947390968,0.27527557978594497,0.053019158113476565,1,4,2,1-4-2,0.31888276909296176,forest_structure,forest_structure,Mixed-control transition zone,Low-resilience restoration priority zone,forest_structure,,0.2692307692307692,0.31888276909296176,0.3065973906554889,constraint,structure,0.31888276909296176,0.11159596971107619,1.5383650577067494,Mixed-control transition,Low,Low-resilience restoration priority
26,Southwestern Tablelands,9.4.3,Southwestern Tablelands,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS,26 Southwestern Tablelands,129,-755817.8294573644,1713895.3488372094,0.82887006,0.8360197,0.83849937,0.5686729619928683,0.11444714820798836,0.2496563177680613,0.10452779494125441,0.09436173720197945,-0.14018402640843344,-0.07393580008628246,0.24650640969140344,conifer,S_Rockies,0.0,0.239673840130469,0.24246466347838358,0.07793158306022398,0.06624437031605808,0.10885700973632101,0.2559786245971443,0.14313770713858717,0.1511061178555615,0.0,0.22108638282283405,0.07874737410469043,0.057536487290059724,4,3,4,4-3-4,0.2496563177680613,forest_structure,human_pressure,Structure-dominated resilience zone,High-resilience conservation zone,,Structure-dominated resilience zone,0.717948717948718,0.2496563177680613,0.13520916956007295,constraint,structure,0.2496563177680613,0.14512852282680688,2.388420399649399,Mixed-control transition,High,High-resilience conservation priority
4,Cascades,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,4 Cascades,2253,-2087996.671105193,2443723.2578783846,0.76088434,0.71511006,0.8238065,0.48297063959805164,0.08204915876453792,0.21258243403655866,0.019264510870132964,0.06963736017511613,-0.1263249733733155,0.09098845384703629,0.19519656285964873,conifer,CA_med,0.0,0.10369276037726308,0.23039595768337706,0.0,0.06885623577574145,0.06749605283461689,0.06597093499141729,0.0003508012229386907,0.06652898216086807,0.046156599854413394,0.28482380689236125,0.043808238669723124,0.03140769694736752,4,2,2,4-2-2,0.21258243403655866,forest_structure,human_pressure,Structure-dominated resilience zone,Structure-dominated resilience zone,,,0.3717948717948718,0.21258243403655866,0.13053327527202074,constraint,structure,0.21258243403655866,0.14294507386144253,3.0527066721366305,Mixed-control transition,Moderate,Mixed-control transition
41,Canadian Rockies,6.2.4,Canadian Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,41 Canadian Rockies,1299,-1287068.8991531949,2869297.5365665895,0.67437476,0.6492426,0.8165178,0.3901458927778522,0.10414611326401622,0.59896272744239,0.003181748204827342,0.07596369901918137,-0.4483808691714992,0.40698757221548093,0.8263999465615767,conifer,N_Rockies,0.0,0.13536256593300497,0.7492915847073046,0.0,0.055337029480847774,0.08347591593921973,0.49902206700066754,0.0,0.05706025595174781,0.07808850474279166,0.5215388297126171,0.009132461400469916,0.1125479768532526,4,1,3,4-1-3,0.59896272744239,forest_structure,human_pressure,Structure-dominated resilience zone,Low-resilience restoration priority zone,forest_structure,,0.1794871794871795,0.59896272744239,0.49481661417837375,constraint,structure,0.59896272744239,0.5229990284232087,7.884854676325697,Structure-dominated constraint,Low,Low-resilience restoration priority
43,Northwestern Great Plains,9.3.3,Northwestern Great Plains,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS,43 Northwestern Great Plains,1344,-848051.3392857143,2593662.9464285714,0.6760584,0.76605135,0.75339276,0.366465947776858,0.019921220994535332,0.17239359409961758,0.41048874246641676,0.08575692062536486,-0.14419630321470633,-0.3950486340189444,0.10408347945756377,shrub,N_Rockies,0.0,0.0005727878192656034,0.138504347879295,0.5831911329943185,0.12630220603539188,0.0477522691424367,0.14582462884818426,0.5020812883559117,0.0668253349020265,0.0,0.23189238714447302,0.13847581831978673,0.0429944887120388,2,4,3,2-4-3,0.41048874246641676,climate_constraint,climate_constraint,Climate-dominated recovery constraint zone,Low-resilience restoration priority zone,climate_constraint,,0.2692307692307692,0.17239359409961758,0.15247237310508224,constraint,climate,0.41048874246641676,0.23809514836679918,2.3811136638245154,Climate-dominated constraint,Low,Low-resilience restoration priority
5,Sierra Nevada,6.2.12,Sierra Nevada,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,5 Sierra Nevada,4055,-2062774.4759556104,1976611.7139334155,0.7149955,0.70013136,0.8148177,0.43595924531716207,0.07121307887576156,0.1090157337107391,0.074722918457115,0.07761232878205741,-0.04135751754541017,0.03420110697370084,0.13647665393111472,conifer,CA_med,0.0,0.07292925024529909,0.08546218169573078,0.08182123127860766,0.05857192522688713,0.04906710575925248,0.08563080812011642,0.06564247316339139,0.06300848557643074,0.0585537172183383,0.12581918925384944,0.09003857783990621,0.07218499789738556,3,3,3,3-3-3,0.1090157337107391,forest_structure,human_pressure,Mixed-control transition zone,Mixed-control transition zone,,,0.23076923076923075,0.1090157337107391,0.03780265483497754,constraint,structure,0.1090157337107391,0.03140340492868168,1.4046187689698804,Mixed-control transition,Low,Low-resilience restoration priority
6,Central California Foothills and Coastal Mountains,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,6 Central California Foothills and Coastal Mountains,1097,-2228938.4685505927,1858627.6207839563,0.66104734,0.71929395,0.79755574,0.37798455487074933,0.012570852404310703,0.17215541842659066,0.3286292494811756,0.14086908379981733,-0.13695586241976085,-0.3191157760424295,-0.03673394793803213,conifer,CA_med,11.960022331875326,0.00633007156073741,0.19374387871847545,0.4360445405066775,0.16375896729012923,0.003090098161992732,0.12807145321725807,0.24546258645370614,0.15909250603896824,0.009827920637792347,0.1899143749974057,0.28399191085265874,0.0967257561293766,1,4,4,1-4-4,0.3286292494811756,climate_constraint,climate_constraint,Climate-dominated recovery constraint zone,Low-resilience restoration priority zone,climate_constraint,,0.17948717948717952,0.17215541842659066,0.15958456602227994,constraint,climate,0.3286292494811756,0.15647383105458496,1.9089102886489016,Mixed-control transition,Low,Low-resilience restoration priority
77,North Cascades,6.2.5,North Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,77 North Cascades,1291,-1801220.3718048024,3030379.163439194,0.7774511,0.7493865,0.83673793,0.5050874293407556,0.07061959180455647,0.35761891352582564,0.013414804597644776,0.06462934787049711,-0.27321947514581013,0.20167291345035618,0.12955842966899284,conifer,PNW,0.0,0.048589814560687214,0.43975045183600336,0.0,0.032743493062210305,0.05584003034174851,0.2535431377936626,0.0,0.06354961107044979,0.043692132398688154,0.38358001961719246,0.003709190407750023,0.06572982884009189,3,1,2,3-1-2,0.35761891352582564,forest_structure,forest_structure,Structure-dominated resilience zone,Structure-dominated resilience zone,,,0.5384615384615384,0.35761891352582564,0.2869993217212692,constraint,structure,0.35761891352582564,0.2929895656553285,5.533382670708897,Structure-dominated constraint,Moderate,Structure-constraint management
78,Klamath Mountains/California High North Coast Range,6.2.11,Klamath Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,78 Klamath Mountains/California High North Coast Range,5769,-2233561.362454498,2338581.2965851966,0.77222097,0.7458637,0.8649147,0.5260386588276702,0.10135099645632147,0.058552410063110884,0.010017133205853691,0.05594176503075211,0.04421785663853777,0.09609773471746556,0.17377661460508598,conifer,CA_med,0.0,0.11153681648506746,0.06492677197783324,0.0,0.0728732274201426,0.10741033355123294,0.02431299129446423,0.0,0.03699525765816211,0.07135884212394909,0.07261949477101247,0.0,0.029838507855300837,4,1,2,4-1-2,0.058552410063110884,forest_structure,human_pressure,Structure-dominated resilience zone,Structure-dominated resilience zone,,,0.6153846153846153,0.058552410063110884,0.04279858639321058,support,structure,0.058552410063110884,0.002610645032358777,1.046667190978398,Mixed-control transition,Moderate,Mixed-control transition
79,Madrean Archipelago,12.1.1,Madrean Archipelago,12.1,WESTERN SIERRA MADRE PIEDMONT,12,SOUTHERN SEMI-ARID HIGHLANDS,79 Madrean Archipelago,681,-1303939.06020558,1077395.7415565345,0.8079618,0.85437095,0.8087401,0.510065891008282,0.0,0.27837449483727333,0.10428784111971473,0.0935130515921188,-0.275869323953239,-0.05870989885109009,-0.03458615211358395,conifer,SW_dry,0.0,0.0,0.283766089969422,0.09263913233268455,0.08910427181369467,0.0,0.08348295853368676,0.0,0.10244924240906839,0.0,0.4417378477811372,0.2277663062335519,0.054949501477622786,1,3,4,1-3-4,0.27837449483727333,forest_structure,forest_structure,Mixed-control transition zone,Mixed-control transition zone,,,0.5897435897435898,0.27837449483727333,0.27837449483727333,constraint,structure,0.27837449483727333,0.1740866537175586,2.6692900327442772,Mixed-control transition,Moderate,Mixed-control transition
8,Southern California Mountains,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,8 Southern California Mountains,1169,-2049860.992301112,1511948.246364414,0.58027154,0.62628734,0.77066016,0.2615157960123958,0.011823006838376617,0.17890376921815473,0.18210237239377433,0.09372412629078179,-0.1364729310321853,-0.1302302529379705,-0.024094716985446,shrub,CA_med,0.0,0.0011974595467867438,0.2641693718072353,0.14552662207346123,0.18706622221803745,0.006017618009588533,0.09470302798674192,0.1929392555165747,0.028430288039795023,0.0034423737543041746,0.1720198851056123,0.2015625340319541,0.03132426531281953,1,4,4,1-4-4,0.18210237239377433,climate_constraint,forest_structure,Climate-dominated recovery constraint zone,Low-resilience restoration priority zone,climate_constraint,,0.05128205128205129,0.17890376921815473,0.16708076237977812,constraint,climate,0.18210237239377433,0.0031986031756195965,1.0178789032204192,Mixed-control transition,Low,Low-resilience restoration priority
80,Northern Basin and Range,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,80 Northern Basin and Range,333,-1556842.3423423423,2286779.279279279,0.8358934,0.86643475,0.86043626,0.6169029079563068,0.053756732645176365,0.06457800536003931,0.053121578884074226,0.053028727772462675,-0.011174398444487964,0.017210248423028356,0.15781048639780382,conifer,S_Rockies,0.0,0.036686940097119355,0.07589504917245864,0.03564458788919362,0.057753822602759186,0.06333123697479552,0.040648141662477204,0.00729181174170521,0.0457582726221223,0.046297367011413126,0.026017815800672122,0.07634854185700171,0.04450178882472573,3,2,1,3-2-1,0.06457800536003931,forest_structure,human_pressure,Structure-dominated resilience zone,High-resilience conservation zone,,Structure-dominated resilience zone,0.858974358974359,0.06457800536003931,0.010821272714862946,constraint,structure,0.06457800536003931,0.011456426475965086,1.215664268958687,Mixed-control transition,High,High-resilience conservation priority
9,Eastern Cascades Slopes and Foothills,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,9 Eastern Cascades Slopes and Foothills,1549,-1977206.9076823757,2604160.4260813426,0.76814437,0.76389235,0.8290597,0.49947790663322,0.032310603431976406,0.28843842050505014,0.020186039054555027,0.07283728056942528,-0.2502653003293809,0.2558577943669088,0.29002083514992255,conifer,PNW,0.0,0.0028995948805028843,0.3668568749420973,0.0,0.11025916328843757,0.0406572507795149,0.10819522320365775,0.0,0.034992852080726965,0.000572234269469668,0.30780806399297356,0.059875113120142716,0.02751212147619585,2,2,3,2-2-3,0.28843842050505014,forest_structure,human_pressure,Mixed-control transition zone,Mixed-control transition zone,,,0.5,0.28843842050505014,0.25612781707307375,constraint,structure,0.28843842050505014,0.21560113993562485,3.9600382970108745,Mixed-control transition,Moderate,Mixed-control transition
